name,lat,long,vicinity
Admirals Northwest Storage,48.1137313,-123.4863587,"3626 W Duval Pl, Port Angeles, WA 98363, United States"
Airport Road Self Storage,48.10884739999999,-123.4870493,"4114 S Airport Rd, Port Angeles, WA 98363, United States"
Angeles Mini Storage,48.1112522,-123.4643988,"919 W Lauridsen Blvd, Port Angeles, WA 98363, United States"
Storage AAA Affordable,48.106778,-123.4745102,"4310 S Bean Rd, Port Angeles, WA 98363, United States"
"Deer Park Self Storage, Inc. & Penske Truck Rental",48.103328,-123.3470103,"132 Deer Park Rd, Port Angeles, WA 98362, United States"
Craver's Rent A Space,48.109779,-123.374231,"612 N Larch Ave, Port Angeles, WA 98362, United States"
Bayview Mini Storage,48.103862,-123.3786528,"82 S Bayview Ave, Port Angeles, WA 98362, United States"
Armor Storage,48.10618780000001,-123.3819064,"260 N Lees Creek Rd, Port Angeles, WA 98362, United States"
Mccarver Mini Storage,48.1047054,-123.3683537,"112 McCarver Rd, Port Angeles, WA 98362, United States"
Monte English Self Storage,48.095681,-123.2963421,"255432 US-101, Port Angeles, WA 98362, United States"
Bagley Place Storage,48.098917,-123.3281,"70 N Bagley Creek Rd, Port Angeles, WA 98362, United States"
Airport Corner Boat & Self,48.1137701,-123.4868981,"3630 W Duval Pl, Port Angeles, WA 98363, United States"
Puget Sound Transfer & Storage,48.1023827,-123.3792519,"172 S Bayview Ave, Port Angeles, WA 98362, United States"
U-Haul Neighborhood Dealer,48.106866,-123.4741974,"4310 S Bean Rd, Port Angeles, WA 98363, United States"
All Safe Mini Storage - Washington Place,48.0799732,-123.0939878,"710 E Washington Pl, Sequim, WA 98382, United States"
All Safe Mini Storage - Grant Road,48.0758443,-123.1376064,"101 Grant Rd, Sequim, WA 98382, United States"
Carlsborg Mini Storage,48.0902407,-123.1698215,"292 Business Park Loop, Sequim, WA 98382, United States"
A Cost Less Mini Storage,48.08947879999999,-123.2342726,"258373 US-101, Sequim, WA 98382, United States"
"Sequim Port Angeles Storage Solutions, llc",48.090025,-123.234356,"258313 US-101, Sequim, WA 98382, United States"
All About Storage,48.0777022,-123.1741321,"132 Hooker Rd, Sequim, WA 98382, United States"
